id,nombre_ce,distrito,sector,zona,canton,caserio,direccion,ayuda_asistencia_tecnica,apoyo_economico,apoyo_material_didactico,apoyo_mobiliario_equipo,apoyo_infraestructura,apoyo_remuneracion_docentes,apoyo_materiales_construccion,apoyo_alimentos,cant_deser,correo,X,Y
3,COLEGIO GOLDA MEIR,01,Privado,Urbana,N/A,N/A,23 AV. NORTE Y 3‹¨« CALLE PTE # 1223 SAN SALVADOR,0,0,0,0,0,0,0,0,27,info@colegiogoldameir.edu.sv,-89.203514,13.702189
4,COLEGIO TIEMPO PARA NI‹¨«OS,02,Privado,Urbana,N/A,N/A,"URBANIZACION CIUDAD SATELITE CALLE JUPITER NUMERO 23 ""C"" SAN SALVADOR",0,0,0,0,0,0,0,0,1,colegio4kids@hotmail.com,-89.217616,13.724618
5,COLEGIO GOTITAS MAGICAS,02,Privado,Urbana,N/A,N/A,CALLE SAN ANTONIO ABAD N‹¨«2,0,0,0,0,0,0,0,0,2,reinagomez2009@gmail.com,-89.213413,13.715598
6,COLEGIO CRECIENDO CON MONTESSORI,02,Privado,Urbana,N/A,N/A,"CALLE GABRIELA MISTRAL N‹¨« 217, DOS CUADRAS ABAJO DE WENDY'S LOS HEROES",0,0,0,0,0,0,0,0,2,colegiocreciendoconmontessori@gmail.com,-89.206641,13.708848
7,INSTITUTO NACIONAL ALBERT CAMUS,02,Privado,Urbana,N/A,N/A,COLONIA EL PRADO CALLE SAN ANTONIO ABAD N‹¨« 1467,1,0,0,0,0,0,0,0,35,in.albertcamus@hotmail.com,-89.205795,13.714492
8,INSTITUTO NACIONAL GENERAL JESUS MARIA BRAN,02,Publico,Urbano,N/A,N/A,"COLONIA FLOR BLANCA, CALLE EL PROGRESO NUMERO 112",1,1,1,0,1,1,0,0,27,ingebran@yahoo.com,-89.213681,13.715273
9,CENTRO ESCOLAR GENERAL FRANCISCO MORAZAN,01,Publico,Urbano,N/A,N/A,"FINAL 25 AV. NORTE Y CALLE SAN ANTONIO ABAD, SAN SALVADOR",1,0,0,0,0,0,0,0,0,cafram11532@yahoo.com,-89.205195,13.715441
10,ESCUELA DE EDUCACION PARVULARIA COLONIA ATLACATL,01,Publico,Urbana,N/A,N/A,"COLONIA ATLACATL, 20 AV. NORTE PASAJE P #4",0,0,0,0,0,0,0,0,0,parvulariaatlacatl@gmail.com,-89.182143,13.71521
11,ESCUELA DE EDUCACION PARVULARIA SAGRADO CORAZON DE JESUS,DCH,Publico,Urbana,N/A,N/A,3 AV. Y 6 CALLE PONIENTE FRENTE A IGLESIA EL CALVARIO,0,0,0,0,0,0,0,0,0,No posee,-89.193727,13.696554
12,INSTITUTO NACIONAL GENERAL FRANCISCO MORAZAN,01,Publico,Urbana,N/A,N/A,PRIMERA CALLE PONIENTE #1250,1,0,0,0,0,0,0,0,12,inframor@hotmail.com,-89.203304,13.7015
13,INSTITUTO NACIONAL TECNICO INDUSTRIAL,02,Publico,Urbana,N/A,N/A,"BOULEVARD VENEZUELA, COLONIA ROMA",0,0,0,0,0,0,0,0,0,intidirec@gmail.com,-89.222327,13.693742
14,INSTITUTO NACIONAL GENERAL MANUEL JOSE ARCE,05,Publico,Urbana,N/A,N/A,CALLE MODELO N‹¨« 77,0,0,0,0,0,0,0,0,81,inarce77@yahoo.es,-89.195707,13.686071
15,INSTITUTO NACIONAL PROFESOR JAIME FRANCISCO LOPEZ,04,Publico,Urbano,N/A,N/A,39 AV. SUR FINAL PASAJE 8 COLONIA MONSERRAT,0,0,0,0,0,0,0,0,21,No posee,-89.213969,13.682698
16,CENTRO ESCOLAR DOCTOR JOSE ANTONIO RODRIGUEZ PORTH,01,Publico,Urbana,N/A,N/A,"FINAL VEINTISEIS AV. NORTE, COLONIA JARDINES DE DON BOSCO",0,0,0,0,1,0,0,0,45,No posee,-89.206077,13.717371
18,ESCUELA DE EDUCACION PARVULARIA DEL SERVIDOR MUNICIPAL,DCH,Publico,Urbana,N/A,N/A,1A. CALLE ORIENTE Y CALLE DELGADO MERCADO EX-CUARTEL,0,0,0,0,0,0,0,0,0,No posee,-89.188065,13.699014
19,ESCUELA DE EDUCACION PARVULARIA SAN JOSE,DCH,Publico,Urbana,N/A,N/A,FINAL CALLE DELGADO (CONTIGUO AL MERCADO TINNETTI),0,0,0,0,1,0,0,1,0,No posee,-89.183299,13.698287
1,ESCUELA DE EDUCACION PARVULARIA SAN JACINTO,05,Publico,Urbana,N/A,N/A,URBANIZACION CUSCATLAN CALLE AL CERRO,0,0,0,0,0,0,0,0,0,No posee,-89.177805,13.686492
2,CENTRO ESCOLAR PARA CIEGOS EUGENIA VIUDA DE DUE‹¨«AS,01,Publico,Urbana,N/A,N/A,21 CALLE PONIENTE BARRIO SAN MIGUELITO #240 SAN SALVADOR,1,0,1,1,0,0,0,0,0,aliciagorantes@hotmail.com,-89.19259,13.709517
19,CENTRO DE EDUCACION INICIAL Y PARVULARIA PREPARE,03,Privado,Urbana,N/A,N/A,"FINAL CALLE LA MASCOTA, URBANIZACION MAQUILISHUAT #5250",0,0,0,0,0,0,0,0,0,info@prepare.com.sv,-89.251014,13.697338
20,INSTITUTO NACIONAL ACCION CIVICA MILITAR,06,Publico,Urbana,N/A,N/A,"ALAMEDA JUAN PABLO II CONTIGUO A INDUSTRIAS LA CONSTANCIA, ZONA RELOJ DE FLORES",0,0,0,1,0,0,0,0,0,accioncivicamilitar@gmail.com,-89.18105,13.700732
21,INSTITUTO NACIONAL GENERAL FRANCISCO MENENDEZ,01,Publico,Urbana,N/A,N/A,20 AV. NORTE Y 29 CALLE ORIENTE COL. ATLACATL,0,0,0,0,0,0,0,0,176,No posee,-89.181211,13.712366
21,INSTITUTO NACIONAL DE COMERCIO,05,Publico,Urbano,N/A,N/A,"FINAL CALLE CAMPOS Y AV. BARBERENA, BARRIO SAN JACINTO",1,1,0,0,1,0,0,1,6,inco11542@outlook.com,-89.187016,13.688143
23,CENTRO ESCOLAR DOCTOR SERGE REYNAUD DE LA FERRIERE,03,Publico,Urbana,N/A,N/A,FINAL QUINTA CALLE PONIENTE CONTIGUO A IGLESIA SAN PABLO COLONIA ESCALON,0,0,0,0,0,0,0,0,6,No posee,-89.253911,13.707614
24,ESCUELA DE EDUCACION PARVULARIA COLONIA CENTRO AMERICA,02,Publico,Urbana,N/A,N/A,CALLE GABRIELA MISTRAL N‹¨« 606 COLONIA CENTROAMERICA,0,0,0,0,0,0,0,0,0,No posee,-89.211253,13.713229
25,CENTRO ESCOLAR COMUNIDAD SERPAS,01,Publico,Urbana,N/A,N/A,COSTADO NORTE AL CENTRO JUDICIAL ISIDRO MENENDEZ COLONIA MEDICA,1,0,0,0,0,0,0,0,0,No posee,-89.198852,13.709472
26,CENTRO ESCOLAR CASERIO LAS LAJAS CANTON SAN ANTONIO ABAD,03,Publico,Rural,San Antonio Abad,Las Lajas,CASERIO LAS LAJAS CANTON SAN ANTONIO ABAD,0,0,0,0,0,0,0,0,0,No posee,-89.2487,13.714158
27,CENTRO ESCOLAR EL PROGRESO,01,Publico,Urbana,N/A,N/A,"FINAL CALLE ACAJUTLA Y AV. SAN JOSE #337, COLONIA EL REFUGIO",0,0,0,0,0,0,0,0,13,No posee,-89.199336,13.719409
28,CENTRO ESCOLAR REPUBLICA DE CANADA,03,Publico,Urbana,N/A,N/A,AV. LAS PALMAS PASAJE 7 COLONIA SAN BENITO,0,0,0,0,0,0,0,0,17,No posee,-89.236177,13.690406
29,CENTRO ESCOLAR JOSE MEJIA,04,Publico,Urbano,N/A,N/A,FINAL COLONIA LA CIMA 1 CALLE A HUIZUCAR,1,1,1,1,1,1,1,1,7,cejosemejia@hotmail.com,-89.223897,13.668431
30,CENTRO ESCOLAR SAN ANTONIO ABAD,02,Publico,Urbana,N/A,N/A,FINAL CALLE MIRAMONTE PONIENTE SOBRE BOULEVARD CONSTITUCION,1,0,0,0,0,0,0,0,28,cesabad.sv@gmail.com,-89.224058,13.712865
31,CENTRO ESCOLAR JUANA LOPEZ,02,Publico,Rural,San Antonio Abad,N/S,"AV. ANDALUCIA, CALLE PRINCIPAL FRENTE AL ANTIGUO TEMPLO CATOLICO DE SAN ANTONIO ABAD",0,0,0,0,0,0,0,0,0,cdecejuanlopez11594@gmail.com,-89.228865,13.717107
32,CENTRO ESCOLAR BENJAMIN SOL MILLET,04,Publico,Urbana,N/A,N/A,"COLONIA LOMAS DE SAN FRANCISCO BLOCK ""E"" CALLE ANTIGUA A HUIZUCAR SAN SALVADOR",1,0,1,0,0,0,0,0,0,cebsolmillet@gmail.com,-89.228744,13.673864
33,CENTRO ESCOLAR JUAN RAMON JIMENEZ,04,Publico,Urbana,San Salvador,N/A,CALLE LOS DURAZNOS N‹¨« 10 CONTIGUO AL COMPLEJO MUNICIPAL CANCHACHAPUPO RODRIGUEZ COL. SAN FRANCISCO,1,1,1,0,1,0,0,1,0,judithvilla-@hotmail.com,-89.225472,13.685134
34,CENTRO ESCOLAR REPUBLICA DE ITALIA,03,Publico,Rural,El Carmen,N/A,FINAL PASEO GENERAL ESCALON CALLE EL CARMEN,0,0,0,0,0,0,0,0,0,italiacentroescolar@gmail.com,-89.259768,13.709977
35,"CENTRO ESCOLAR CASERIO LA PEDRERA, COLONIA COSTA RICA",05,Publico,Urbano,N/A,N/A,"AV. IRAZU, CALLE SANTA MARTA, COLONIA COSTA RICA",0,0,0,0,1,0,0,0,0,celapedrera@gmail.com,-89.197357,13.677459
36,ESCUELA DE EDUCACION PARVULARIA DOLORES CASTELLANOS,01,Publico,Urbana,N/A,N/A,DECIMA AV. NORTE NUMERO MIL SETECIENTOS VEINTISEIS COLONIA LA RABIDA,0,0,0,0,0,0,0,0,10,No posee,-89.185178,13.714219
37,ESCUELA DE EDUCACION PARVULARIA GABRIELA MISTRAL,05,Publico,Urbana,N/A,N/A,"FINAL CALLE SAN MARTIN Y AV. INDIANA N‹¨«53 COLONIA HARRISON, BARRIO SAN JACINTO",0,1,0,0,0,1,0,0,11,gabriela11608@live.com,-89.18444,13.689405
38,ESCUELA DE EDUCACION PARVULARIA JORGE LARDE,05,Publico,Urbana,N/A,N/A,"CALLE MEXICO AV. EL COCAL #806, B SAN JACINTO, CERCA DEL FISDL",0,0,0,0,0,0,0,0,0,No posee,-89.19059,13.684454
39,ESCUELA DE EDUCACION PARVULARIA MARIA MONTESSORI,DHC,Publico,Urbano,N/A,N/A,"AV. CUSCATLAN N‹¨« 624, 3 1/2 CUADAS ABAJO DEL PALACIO NACIONAL Y FRENTE A SUMINISTROS ELECTRONICOS",1,1,1,1,1,1,1,1,19,No posee,-89.191827,13.695554
40,ESCUELA DE EDUCACION PARVULARIA ROSAURA ZAPATA,04,Publico,Urbana,N/A,N/A,COLONIA CIMAI CALLE A HUIZUCAR CONTIGUO AL PARQUE DE LA COLONIA,0,0,0,0,0,0,0,0,0,No posee,-89.22373,13.66804
41,ESCUELA DE EDUCACION PARVULARIA OVIDIO DECROLY,DHC,Publico,Urbano,N/A,N/A,CUARTA CALLE ORIENTE NUMERO 531,0,0,0,0,0,0,0,0,7,ovidiodecroly@live.com,-89.187477,13.696913
42,ESCUELA DE EDUCACION PARVULARIA COLONIA SAN BENITO,03,Publico,Urbana,N/A,N/A,KM 5 1/2 ALAMEDA MANUEL ENRIQUE ARAUJO,0,0,0,0,0,0,0,0,0,helemescamilla@gmail.com,-89.233012,13.689398
43,CENTRO ESCOLAR SALVADOR MUGDAN,01,Publico,Urbana,N/A,N/A,"CALLE 5 DE NOVIEMBRE Y 10A. AV. NORTE, N‹¨« 336",0,0,0,0,0,0,0,0,44,No posee,-89.185958,13.709327
44,CENTRO ESCOLAR SANTIAGO I. BARBERENA,05,Publico,Urbana,N/A,N/A,"33 AV. SUR, COLONIA DREYFUS, PASAJE SAN JOSE, N‹¨« 1729",0,0,0,0,0,0,0,0,8,No posee,-89.20886,13.69255
45,CENTRO ESCOLAR DOCTOR DARIO GONZALEZ,05,Publico,Urbana,N/A,N/A,CALLE LOS TANQUES N‹¨« 117 COLONIA DOLORES CONTIGUO A VIVEROS MUNICIPALES,0,0,0,0,0,0,0,0,9,dariogonzalez11628@hotmail.com,-89.205773,13.68173
46,CENTRO ESCOLAR REPUBLICA DE EL SALVADOR,05,Publico,Urbana,N/A,N/A,43 AV. SUR CALLE MONSERRAT COLONIA DINA,1,0,0,0,0,0,0,1,72,ceras17629@gmail.com,-89.214857,13.685507
47,CENTRO ESCOLAR FRANCISCO CAMPOS,DHC,Publico,Urbana,N/A,N/A,"CUARTA CALLE ORIENTE, NUMERO OCHENTA Y TRES BARRIO SAN ESTEBAN",0,0,0,0,0,0,0,0,19,No posee,-89.184032,13.696709
48,CENTRO ESCOLAR LYNDON B. JOHNSON,05,Publico,Urbana,N/A,N/A,COLONIA AMERICA AV. SANTO DOMINGO Y CALLE DOCE DE OCTUBRE BARRIO SAN JACINTO,1,0,0,0,0,0,0,0,76,No posee,-89.189543,13.67581
49,ESCUELA DE EDUCACION PARVULARIA PROFESORA LUISA MORAN CASTRO,05,Publico,Urbana,N/A,N/A,COLONIA MONSERRAT ENTRE PSAJE 9 Y 10,0,0,1,0,0,0,0,0,0,parv.luisamorancastro2010@gmail.com,-89.213555,13.683517
50,ESCUELA DE EDUCACION PARVULARIA MARTA CARBONELL DE QUITE‹¨«O,06,Publico,Urbana,N/A,N/A,FINAL 4‹¨« CALLE ORIENTE BARRIO LOURDES,0,1,0,0,1,0,0,0,17,No posee,-89.179923,13.695944
51,COLEGIO INTERNACIONAL DE SAN SALVADOR,3,Privado,Urbana,N/A,N/A,CALLE LA REFORMA Nø 169 COLONIA SAN BENITO,0,0,0,0,0,0,0,0,1,c_stemp@cciss.edu.sv,-89.232955,13.693631
